"In_your_own_words,_what_would_you_call_the_part_of_?",Personally_identification_as_a_Midwesterner?,Illinois_in_MW?,Indiana_in_MW?,Iowa_in_MW?,Kansas_in_MW?,Michigan_in_MW?,Minnesota_in_MW?,Missouri_in_MW?,Nebraska_in_MW?,North_Dakota_in_MW?,Ohio_in_MW?,South_Dakota_in_MW?,Wisconsin_in_MW?,Arkansas_in_MW?,Colorado_in_MW?,Kentucky_in_MW?,Oklahoma_in_MW?,Pennsylvania_in_MW?,West_Virginia_in_MW?,Montana_in_MW?,Wyoming_in_MW?,ZIP_Code,Gender,Age,Household_Income,Education,Location_(Census_Region)
Midwest,A lot,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,65807,Female,30-44,"$0 - $24,999",Some college,West North Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,63084,Female,30-44,"$0 - $24,999",Some college,West North Central
Flyover country,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,55105,Female,30-44,"$0 - $24,999",Some college,West North Central
the midwest,Some,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,63049,Female,30-44,"$0 - $24,999",Some college,West North Central
Midwest,Some,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,57701,Male,30-44,"$0 - $24,999",Some college,West North Central
midwest,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,66801,Female,18-29,"$0 - $24,999",Some college,West North Central
The Midwest/Great Plains,Not much,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,66045,Male,18-29,"$0 - $24,999",Some college,West North Central
Liberal midwest,Not much,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,55455,Male,18-29,"$0 - $24,999",Some college,West North Central
Mid-west,Some,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,68506,Female,> 60,,Some college,West North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55447,Male,45-60,,Some college,West North Central
southwest,A lot,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,65608,Female,> 60,"$150,000+",High school degree,West North Central
Midwest,Not much,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,68725,Female,45-60,"$150,000+",High school degree,West North Central
Midwest,A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,64624,Female,45-60,"$150,000+",High school degree,West North Central
midwest,A lot,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,51401,Female,30-44,"$150,000+",High school degree,West North Central
Midwest,Some,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,63385,Female,30-44,"$150,000+",High school degree,West North Central
usa,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,68801,Male,18-29,"$150,000+",High school degree,West North Central
The Midwest,A lot,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,112345,Male,18-29,"$150,000+",High school degree,West North Central
Midwest,A lot,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,66002,Male,18-29,"$150,000+",High school degree,West North Central
Midwest,A lot,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,56320,Male,18-29,"$150,000+",High school degree,West North Central
Midwest,A lot,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,68507,Male,45-60,"$100,000 - $149,999",High school degree,West North Central
The Upper Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60202,Male,18-29,"$100,000 - $149,999",High school degree,West North Central
Southwest Missouri,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,65759,Male,18-29,"$100,000 - $149,999",High school degree,West North Central
middle America,A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,63017,Female,> 60,"$50,000 - $99,999",High school degree,West North Central
Midwest,A lot,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,68128,Female,> 60,"$50,000 - $99,999",High school degree,West North Central
mid states,Some,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,68106,Female,> 60,"$50,000 - $99,999",High school degree,West North Central
Central,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,55103,Male,> 60,"$50,000 - $99,999",High school degree,West North Central
Frozen North,A lot,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55046,Male,45-60,"$50,000 - $99,999",High school degree,West North Central
Mid Missouri,Some,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,65486,Male,45-60,"$50,000 - $99,999",High school degree,West North Central
Heart of America,Some,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,64163,Female,30-44,"$50,000 - $99,999",High school degree,West North Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,50317,Female,18-29,"$50,000 - $99,999",High school degree,West North Central
cold,Some,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,52601,Female,45-60,"$25,000 - $49,999",High school degree,West North Central
midwest,Some,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,50501,Female,45-60,"$25,000 - $49,999",High school degree,West North Central
midwest,Not much,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,67701,Male,45-60,"$25,000 - $49,999",High school degree,West North Central
midwest,Some,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,52405,Female,30-44,"$25,000 - $49,999",High school degree,West North Central
midwest,Some,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,63401,Female,30-44,"$25,000 - $49,999",High school degree,West North Central
mid west,Some,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,55421,Male,30-44,"$25,000 - $49,999",High school degree,West North Central
Central midwest,Some,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,56385,Female,18-29,"$25,000 - $49,999",High school degree,West North Central
Midwest,Some,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55075,Female,18-29,"$25,000 - $49,999",High school degree,West North Central
western,Not much,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,65542,Female,> 60,"$0 - $24,999",High school degree,West North Central
CENTRAL,Not at all,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,55103,Male,> 60,"$0 - $24,999",High school degree,West North Central
Midwest,Not much,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55103,Male,30-44,"$0 - $24,999",High school degree,West North Central
the armpit of america,Not much,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,64111,Female,18-29,"$0 - $24,999",High school degree,West North Central
The Rural Mid-West,Not much,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,55411,Male,18-29,"$0 - $24,999",High school degree,West North Central
"Okay, not to exciting.",A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,64063,Male,45-60,,High school degree,West North Central
Midwest,Some,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,55104,Female,18-29,"$150,000+",Less than high school degree,West North Central
The midwest,A lot,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,55434,Female,18-29,"$50,000 - $99,999",Less than high school degree,West North Central
Expensive and Entertainment Country.,Some,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,63105,Female,18-29,"$0 - $24,999",Less than high school degree,West North Central
Boring,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,52748,Female,18-29,,Less than high school degree,West North Central
Mid East,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,52302,Female,45-60,,,West North Central
Northern central,Some,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,55301,Male,45-60,,,West North Central
Mid west,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,63132,Male,30-44,,,West North Central
I live in small town Iowa. Rumors travel faster than the people.  Everyone wants to leave but they're sucked in and can't.,Not much,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,51051,Female,18-29,,,West North Central
midwest,Not much,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61615,Female,> 60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,45701,Female,> 60,"$150,000+",Graduate degree,East North Central
Warm & sunny most of the winter. Great birding areas particularly in winter - Florida. IN summer Michigan is sunny and lovely.,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,Female,> 60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60540,Female,> 60,"$150,000+",Graduate degree,East North Central
Midwesterner,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,54481,Female,> 60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,46260,Female,> 60,"$150,000+",Graduate degree,East North Central
midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60603,Female,> 60,"$150,000+",Graduate degree,East North Central
severely broken,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,48844,Male,> 60,"$150,000+",Graduate degree,East North Central
Chicagoland,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60201,Male,> 60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60202,Male,> 60,"$150,000+",Graduate degree,East North Central
midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,54911,Male,> 60,"$150,000+",Graduate degree,East North Central
upper midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,49093,Male,> 60,"$150,000+",Graduate degree,East North Central
The Midwest,A lot,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,46235,Male,> 60,"$150,000+",Graduate degree,East North Central
midwwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,53129,Male,> 60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,53717,Male,> 60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,48640,Male,> 60,"$150,000+",Graduate degree,East North Central
MIDWEST,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,46259,Male,> 60,"$150,000+",Graduate degree,East North Central
midwest,Some,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,48302,Male,> 60,"$150,000+",Graduate degree,East North Central
North central,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,49048,Male,> 60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,62226,Female,45-60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60601,Female,45-60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,46226,Female,45-60,"$150,000+",Graduate degree,East North Central
Mid-west,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,60135,Female,45-60,"$150,000+",Graduate degree,East North Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,60625,Female,45-60,"$150,000+",Graduate degree,East North Central
midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,48140,Female,45-60,"$150,000+",Graduate degree,East North Central
rural,Some,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60901,Female,45-60,"$150,000+",Graduate degree,East North Central
Mid-West,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,60304,Female,45-60,"$150,000+",Graduate degree,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,43081,Female,45-60,"$150,000+",Graduate degree,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,61822,Female,45-60,"$150,000+",Graduate degree,East North Central
Mid West,Some,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,49046,Female,45-60,"$150,000+",Graduate degree,East North Central
Midwest,Not much,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,46703,Male,45-60,"$150,000+",Graduate degree,East North Central
Midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,46220,Male,45-60,"$150,000+",Graduate degree,East North Central
North east mid west,A lot,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,48706,Male,45-60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,45255,Male,45-60,"$150,000+",Graduate degree,East North Central
Upper Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,49085,Male,45-60,"$150,000+",Graduate degree,East North Central
Chicagoland,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,60126,Male,45-60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,61102,Male,45-60,"$150,000+",Graduate degree,East North Central
midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,60048,Male,45-60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,44236,Male,45-60,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60527,Male,45-60,"$150,000+",Graduate degree,East North Central
The Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,46032,Male,45-60,"$150,000+",Graduate degree,East North Central
midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60053,Male,45-60,"$150,000+",Graduate degree,East North Central
midwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,60657,Female,30-44,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60625,Female,30-44,"$150,000+",Graduate degree,East North Central
The armpit of the nation.,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,46783,Female,30-44,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,49048,Female,30-44,"$150,000+",Graduate degree,East North Central
Midwest,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,48917,Female,30-44,"$150,000+",Graduate degree,East North Central
hoosier country,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,47712,Male,30-44,"$150,000+",Graduate degree,East North Central
north east,Not much,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,44122,Male,30-44,"$150,000+",Graduate degree,East North Central
Midwest,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,44120,Male,30-44,"$150,000+",Graduate degree,East North Central
Midwest,Not much,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,60605,Male,30-44,"$150,000+",Graduate degree,East North Central
Upper Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,60010,Male,30-44,"$150,000+",Graduate degree,East North Central
Midwest.,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,44105,Male,30-44,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60625,Male,30-44,"$150,000+",Graduate degree,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,44054,Male,30-44,"$150,000+",Graduate degree,East North Central
Northeastern,Not at all,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,43015,Male,30-44,"$150,000+",Graduate degree,East North Central
midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,60626,Male,30-44,"$150,000+",Graduate degree,East North Central
Eastern midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,45240,Male,30-44,"$150,000+",Graduate degree,East North Central
midwest,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,46902,Male,30-44,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,45231,Female,18-29,"$150,000+",Graduate degree,East North Central
midwest,A lot,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60614,Female,18-29,"$150,000+",Graduate degree,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,44406,Female,18-29,"$150,000+",Graduate degree,East North Central
Spoiled,Some,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,43026,Male,18-29,"$150,000+",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,53562,Female,> 60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,60516,Female,> 60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,48187,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,61254,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
Mid-west/Great Lakes,A lot,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,48380,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,47348,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
Upper Midwest,A lot,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,54701,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
Rust Belt,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,44109,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
The Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,53207,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
midwest,Some,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,44612,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
Great Lakes Region,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,53051,Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,46064,Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Northern us,Some,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,49341,Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,44107,Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,49417,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,45414,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,61021,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,48067,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,53546,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,49333,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,53066,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,60007,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,47401,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,61821,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,49224,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Living blue in a red state.,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,46113,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,60136,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,48858,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,46201,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central
The mid-west,Some,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60090,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central
